NAME	Sample	GenesExpressed	HousekeepingGeneExpression	Type	Cellcycle	OPC-variable	OC-like	AC-like	OPC-like
BCH1126-P01-C04	BCH1126	5637	6.211421691	Malignant	-0.250410396	-1.436804329	-0.517682443	-0.966753056	0.078740894
BCH1126-P01-C05	BCH1126	3236	6.397132027	Immune cell	NA	NA	NA	NA	NA
BCH1126-P01-C07	BCH1126	5171	6.429517293	Malignant	-0.387920654	-1.353792339	-0.458487538	-0.294274303	-0.070769195
BCH1126-P01-C09	BCH1126	3878	6.119530793	Malignant	-0.398336116	0.072193642	1.81866027	-0.906534474	0.329417759
BCH1126-P01-C10	BCH1126	4045	6.108783568	Malignant	-0.097550867	-1.314809085	-0.630153594	-0.551107116	1.660842378
BCH1126-P01-C11	BCH1126	4803	5.940849033	Malignant	2.621467738	-1.160414578	0.000991033	-0.431880856	0.36588457
BCH1126-P01-C12	BCH1126	4175	5.794099865	Malignant	-0.605798532	-1.050110867	1.513755728	-1.271220838	-1.678303335
BCH1126-P01-D01	BCH1126	5709	6.469156759	Malignant	-0.290459623	-1.843195863	-0.156377701	0.028187938	-1.98057314
BCH1126-P01-D02	BCH1126	3409	5.607263658	Malignant	-0.655253049	-0.815808724	-0.14715129	0.242345012	0.607046512
BCH1126-P01-D03	BCH1126	4859	4.519115274	Oligodendrocyte	NA	NA	NA	NA	NA
BCH1126-P01-D05	BCH1126	5817	6.193240317	Malignant	-0.271524155	-0.759807199	1.597930044	-1.080340924	-1.506462209
BCH1126-P01-D07	BCH1126	4393	5.924341084	Malignant	-0.097954287	-1.217046674	-0.300155067	-0.321623551	1.739897837
BCH1126-P01-D08	BCH1126	5178	6.25262164	Malignant	-0.792721747	-1.463381737	-0.246346712	-0.636541064	1.268789662
BCH1126-P01-D09	BCH1126	4678	5.53104956	Malignant	-1.007913856	-1.050888018	3.136985241	-1.22474189	-1.304908869
BCH1126-P01-D10	BCH1126	4396	3.921148786	Immune cell	NA	NA	NA	NA	NA
BCH1126-P01-D11	BCH1126	3290	5.360522947	Malignant	-0.15148898	-0.046063883	0.515208304	-0.4534208	-0.009877846
BCH1126-P01-D12	BCH1126	4020	6.185759194	Malignant	-0.358933912	-1.189208724	0.749846273	-1.249147782	0.236446745
BCH1126-P01-E01	BCH1126	4972	5.818363616	Malignant	-0.282279118	-0.513890099	0.562399922	-0.121680305	1.219413224
BCH1126-P01-E02	BCH1126	3963	4.47320341	Oligodendrocyte	NA	NA	NA	NA	NA
BCH1126-P01-E03	BCH1126	4274	5.759656541	Malignant	-0.036546311	-1.034986698	1.06150943	0.387782535	1.503009575
BCH1126-P01-E04	BCH1126	4227	6.244535924	Malignant	3.73090825	-1.228772446	-1.048293169	-0.663990424	0.572700158
BCH1126-P01-E05	BCH1126	5326	6.24812902	Malignant	-0.328490867	-1.146883706	-0.450235923	-1.272978667	1.374230349
BCH1126-P01-E07	BCH1126	4595	6.175860474	Malignant	-0.135934793	-0.430351283	0.742681148	-1.031970455	0.592257971
BCH1126-P01-E08	BCH1126	5344	6.094757486	Malignant	-0.49091167	-0.590195161	0.245283602	-0.938178968	1.522741724
BCH1126-P01-E09	BCH1126	4694	5.084101415	Immune cell	NA	NA	NA	NA	NA
BCH1126-P01-E10	BCH1126	3609	5.55616183	Malignant	-0.271303297	-0.846472183	2.697215304	-0.91991576	-0.540369358
BCH1126-P01-E11	BCH1126	3843	6.230188535	Malignant	-0.798134296	-1.471803997	-0.078389617	-0.406562242	0.241276486
BCH1126-P01-E12	BCH1126	4760	5.991310312	Malignant	-0.479412579	-0.717272645	0.716046615	-0.934137377	0.148525726
BCH1126-P01-F01	BCH1126	4387	6.462218607	Malignant	-0.553196215	-1.140727318	-0.342058897	-0.274710482	0.93969284
BCH1126-P01-F04	BCH1126	5040	6.238809663	Malignant	-0.572817337	-0.038539171	0.827730734	-0.805217601	-0.075967675
BCH1126-P01-F05	BCH1126	3631	4.968188539	Immune cell	NA	NA	NA	NA	NA
BCH1126-P01-F06	BCH1126	4099	5.555768139	Malignant	-0.740548541	0.892658737	0.729756243	-0.801283852	-0.083845441
BCH1126-P01-F07	BCH1126	3764	4.148126747	Immune cell	NA	NA	NA	NA	NA
BCH1126-P01-F08	BCH1126	4247	5.99826211	Malignant	-0.220597038	-0.932413807	-0.111883168	-0.948789433	0.515053154
BCH1126-P01-F09	BCH1126	4237	5.463156534	Malignant	-0.217023572	-0.398793571	-0.067786686	-0.386004264	0.996752368
BCH1126-P01-F10	BCH1126	4790	5.896847519	Malignant	-0.116076764	0.683479528	0.518110296	0.242848688	-0.171609492
BCH1126-P01-F11	BCH1126	5791	6.202801695	Malignant	0.667051851	-1.377870297	0.444952118	-1.056201968	-0.758312899
BCH1126-P01-G02	BCH1126	5047	6.307364034	Malignant	0.398805271	-0.823079688	-0.775761444	-0.675377439	1.090124302
BCH1126-P01-G03	BCH1126	4821	5.872400436	Malignant	-0.117519234	-0.42422127	1.59168576	-0.406235586	-1.196012995
BCH1126-P01-G05	BCH1126	4623	5.373738448	Malignant	-0.539637597	-0.445990929	0.713736303	-0.370888251	0.841267891
BCH1126-P01-G06	BCH1126	4557	5.942755883	Malignant	-0.099451791	-0.400699722	0.099539716	-0.565256037	0.511239599
BCH1126-P01-G07	BCH1126	2731	5.751672761	Immune cell	NA	NA	NA	NA	NA
BCH1126-P01-G08	BCH1126	4097	6.193031465	Malignant	-0.313698947	-0.898347749	-1.185987249	-0.768097055	1.065714366
BCH1126-P01-G09	BCH1126	3259	5.62369937	Malignant	3.950746761	-1.696943677	-1.126642724	-0.691478169	0.696308587
BCH1126-P01-G10	BCH1126	3886	5.569852417	Malignant	-0.853089257	0.992573471	0.586985757	-0.747287436	1.371412589
BCH1126-P01-G11	BCH1126	3847	5.898847394	Malignant	-0.236323729	-1.034862992	-0.607857989	-0.077658272	1.443398339
BCH1126-P01-G12	BCH1126	3984	4.276516122	Oligodendrocyte	NA	NA	NA	NA	NA
BCH1126-P01-H03	BCH1126	4298	6.102321187	Malignant	-0.350013966	-1.093098851	-0.192656855	0.086443361	0.528756264
BCH1126-P01-H04	BCH1126	5425	6.257556882	Malignant	-0.39192943	-0.934107523	-0.119247171	-0.6149033	0.250567248
BCH1126-P01-H05	BCH1126	5150	5.947870659	Malignant	0.942336378	-1.097096255	-0.424503692	-0.365146181	0.719086613
BCH1126-P01-H09	BCH1126	6407	6.447900677	Malignant	-0.728369508	-0.897799344	-0.499973279	-0.779559944	0.539332942
BCH1126-P01-H10	BCH1126	2600	6.217457238	Malignant	0.239549111	-1.110005915	-0.618838853	0.195529511	0.26095779
BCH1126-P01-H11	BCH1126	3987	5.519015594	Malignant	-0.445526243	0.219072752	-0.117160665	-0.616708406	0.094255974
BCH1126-P01-H12	BCH1126	3485	5.766901957	Malignant	0.590357158	-1.006602259	0.664945452	-0.773694067	-0.633439871
BCH1126-P02-A01	BCH1126	3318	6.146880866	Immune cell	NA	NA	NA	NA	NA
BCH1126-P02-A03	BCH1126	6001	5.913621306	Malignant	-0.556788574	-0.460287007	-0.387358816	-0.119838676	0.683735643
BCH1126-P02-A04	BCH1126	6224	4.967139505	Oligodendrocyte	NA	NA	NA	NA	NA
BCH1126-P02-A05	BCH1126	4790	5.721602684	Malignant	-0.015340262	-1.211569269	0.168712732	-1.066515742	1.10633708
BCH1126-P02-A06	BCH1126	5049	6.092464869	Malignant	-0.028953469	0.432659637	0.101451583	-0.194691622	1.619744684
BCH1126-P02-A07	BCH1126	5125	5.883366101	Malignant	-0.795665737	0.132836472	1.219436525	-1.173762231	0.408406446
BCH1126-P02-A08	BCH1126	4850	6.192467289	Malignant	-0.370859604	-0.278079023	0.312780197	-0.806533407	0.335117566
BCH1126-P02-A09	BCH1126	2775	3.745687223	Immune cell	NA	NA	NA	NA	NA
BCH1126-P02-A10	BCH1126	5413	6.222974877	Malignant	-0.250432669	-1.67889644	-0.895209197	-1.050894489	0.817277971
BCH1126-P02-A11	BCH1126	4253	5.341717846	Immune cell	NA	NA	NA	NA	NA
BCH1126-P02-A12	BCH1126	2502	6.172491954	Malignant	0.309509085	-1.670064815	-0.850297766	-0.317606442	0.141023985
BCH1126-P02-B02	BCH1126	5470	6.124329898	Malignant	-0.725942022	-0.748870543	-0.206140817	-0.905053226	0.610334802
BCH1126-P02-B03	BCH1126	5224	4.944552397	Malignant	4.261143177	-1.03543255	-0.211937574	-0.333251217	0.722564959
BCH1126-P02-B06	BCH1126	5671	6.10606165	Malignant	-0.785032352	-0.228681831	-0.270323652	-0.700768595	0.325418217
BCH1126-P02-B07	BCH1126	5555	6.391345792	Malignant	-0.238400223	-1.283963548	0.825344379	-1.369963272	0.426735614
BCH1126-P02-B09	BCH1126	5392	6.123344385	Malignant	-0.513085822	-0.704418467	-0.753409357	-0.441606849	1.537077023
BCH1126-P02-B10	BCH1126	5758	5.951957795	Malignant	-0.763201397	-0.857326764	0.453456909	-1.006723738	-0.428849564
BCH1126-P02-C01	BCH1126	7098	6.204576927	Malignant	1.841462675	-0.564521539	0.482451343	-1.459312996	-0.114707585
BCH1126-P02-C02	BCH1126	5163	5.527443775	Malignant	-0.19037359	-0.16186196	0.499639341	-0.577331586	0.752646824
BCH1126-P02-C03	BCH1126	5164	5.996773034	Malignant	-0.478380622	-0.745590897	1.973990935	-1.045632623	-0.923798427
BCH1126-P02-C04	BCH1126	3488	4.315136225	Malignant	-0.159323693	-0.256227727	0.14134463	0.072285657	1.167407644
BCH1126-P02-C06	BCH1126	6073	6.042473309	Malignant	-0.462510909	-1.06555521	-0.138191043	-0.513831498	0.797836163
BCH1126-P02-C08	BCH1126	6163	6.46587152	Malignant	0.028143024	-0.054972495	-0.709324139	-0.549625843	1.007836728
BCH1126-P02-C09	BCH1126	4734	4.942115039	Malignant	-0.674654004	0.518331791	4.099951671	-1.135503807	-2.479689522
BCH1126-P02-C10	BCH1126	5857	5.767135962	Malignant	3.726629056	-1.143192258	-0.999092996	-0.195148063	1.618144511
BCH1126-P02-C11	BCH1126	5288	6.467017573	Malignant	-0.538240493	-1.076907254	0.144968716	-0.524262383	0.962401331
BCH1126-P02-C12	BCH1126	6327	6.334305923	Malignant	-0.176683457	-0.805085093	0.28887907	-0.974719404	0.399899057
BCH1126-P02-D01	BCH1126	6342	6.553794605	Malignant	-0.559329782	-1.740807135	-0.133669318	0.334546581	0.450668288
BCH1126-P02-D03	BCH1126	5565	6.074500926	Malignant	-0.345566439	-0.62392783	-0.897709047	-0.254868261	1.003534203
BCH1126-P02-D04	BCH1126	5052	5.895291107	Malignant	-0.379353136	-0.22777507	0.397171506	-0.696161069	1.441498853
BCH1126-P02-D05	BCH1126	5374	6.097180219	Malignant	-0.544760596	-0.992074565	1.616158801	-0.831822621	-0.685666923
BCH1126-P02-D06	BCH1126	3434	4.947175937	Immune cell	NA	NA	NA	NA	NA
BCH1126-P02-D07	BCH1126	5124	6.301664155	Malignant	-0.120904294	-0.911197428	-0.73186004	-0.368026858	1.506994115
BCH1126-P02-D09	BCH1126	4550	4.114340815	Oligodendrocyte	NA	NA	NA	NA	NA
BCH1126-P02-D10	BCH1126	4150	5.608643436	Malignant	-0.46940284	0.129613973	0.846097572	-0.226152443	1.211310154
BCH1126-P02-D11	BCH1126	6020	6.418596698	Malignant	-1.075493286	-0.818275439	-0.722584261	-0.734995123	0.839953333
BCH1126-P02-D12	BCH1126	5717	5.939506326	Malignant	0.235588203	-1.228260865	0.348902168	-0.953492	0.328137541
BCH1126-P02-E01	BCH1126	4610	5.861450879	Malignant	0.039902021	-0.731537926	0.100341502	0.202623823	0.95333218
BCH1126-P02-E02	BCH1126	6873	6.381756491	Malignant	-0.503297744	-1.619041741	0.564617732	-0.879004419	-0.452583359
BCH1126-P02-E03	BCH1126	5780	6.193797331	Malignant	-0.73017166	0.063225774	-0.012346458	-0.752603257	-0.17897916
BCH1126-P02-E04	BCH1126	4633	5.232529646	Malignant	-0.803763593	0.50115242	0.714091725	-0.91604645	0.19473094
BCH1126-P02-E06	BCH1126	5060	5.85853524	Malignant	-0.455083267	0.014176647	-0.316532044	-0.626001993	0.869200622
BCH1126-P02-E07	BCH1126	5799	5.929862261	Malignant	-0.889748426	-0.260261128	0.484652931	-0.482533431	1.193137401
BCH1126-P02-E09	BCH1126	4417	5.393984562	Malignant	-0.503626078	-0.071054503	-0.191861455	-0.220460149	1.596741221
BCH1126-P02-E10	BCH1126	3992	4.502118656	Immune cell	NA	NA	NA	NA	NA
BCH1126-P02-E11	BCH1126	6033	6.167495904	Malignant	-0.892491642	-1.319734013	1.034834781	-1.219341934	0.131173645
BCH1126-P02-E12	BCH1126	5398	5.809459934	Malignant	-0.640724194	1.03676812	-0.142203463	-0.924665908	1.336257331
BCH1126-P02-F02	BCH1126	3947	5.247464629	Immune cell	NA	NA	NA	NA	NA
BCH1126-P02-F03	BCH1126	3870	5.731685522	Malignant	-0.28608228	-0.268011924	-0.321659003	-0.440088643	0.940075296
BCH1126-P02-F04	BCH1126	3072	3.588028532	Immune cell	NA	NA	NA	NA	NA
BCH1126-P02-F05	BCH1126	4279	5.878967883	Malignant	-0.552048213	-0.425767246	1.453313904	-1.023973212	-0.446979081
BCH1126-P02-F07	BCH1126	4452	5.981614662	Malignant	-0.264873846	-0.324334372	-0.135936877	-0.714830223	1.194100176
BCH1126-P02-F08	BCH1126	5627	6.421316057	Malignant	-0.634888457	-1.223334515	-0.040470864	-0.614166883	0.911062513
BCH1126-P02-F09	BCH1126	5677	6.063145115	Malignant	-0.571971681	-0.883197885	0.03196034	-1.134063651	0.432649761
BCH1126-P02-F10	BCH1126	4662	5.853061161	Malignant	-0.33599564	0.818100351	0.923064934	-0.977499122	0.568807084
BCH1126-P02-F11	BCH1126	5601	6.383448703	Malignant	-0.381467072	-0.629008895	0.17429772	-0.258448135	0.713949081
BCH1126-P02-F12	BCH1126	5076	6.311490018	Malignant	-0.542022732	-0.185569733	0.148143653	-0.241350043	1.052347515
BCH1126-P02-G01	BCH1126	5263	5.791211474	Malignant	-0.730808978	-0.017067684	0.880721026	-0.399185203	-0.628195988
BCH1126-P02-G02	BCH1126	6078	6.437465251	Malignant	-0.761506423	-0.762978541	-0.431330766	-0.842485212	-0.086634111
BCH1126-P02-G03	BCH1126	6625	5.811120247	Malignant	-0.586072532	-1.048089364	-0.095341522	-1.089054887	-1.873225788
BCH1126-P02-G04	BCH1126	3648	5.908883517	Malignant	-0.312565586	-0.908081377	-0.482727467	-0.608499147	1.827463502
BCH1126-P02-G05	BCH1126	5240	5.752161782	Malignant	0.157319532	-1.301380442	0.308862521	-0.72388095	0.767300602
BCH1126-P02-G06	BCH1126	5820	6.258723567	Malignant	-0.325226	-1.991462349	-0.842659509	-1.075727416	0.0000185
BCH1126-P02-G07	BCH1126	6937	6.228501364	Malignant	-0.443506432	-0.794051459	0.582817077	-1.754280748	0.114849243
BCH1126-P02-G08	BCH1126	4254	5.514565038	Immune cell	NA	NA	NA	NA	NA
BCH1126-P02-G09	BCH1126	5494	5.533767892	Malignant	-0.112268	-0.664752803	4.107347356	-0.914904561	-2.210712308
BCH1126-P02-G11	BCH1126	4248	5.310706051	Immune cell	NA	NA	NA	NA	NA
BCH1126-P02-G12	BCH1126	6687	6.482660792	Malignant	-0.76286677	-1.13043708	0.101280509	-0.472803436	0.906716384
BCH1126-P02-H02	BCH1126	6257	6.286535981	Malignant	-0.651032519	-1.21844883	0.26351866	-1.181063075	0.973236256
BCH1126-P02-H06	BCH1126	6048	6.091286645	Malignant	2.202875336	-1.903981305	-1.117592467	-0.722965023	0.109855262
BCH1126-P02-H07	BCH1126	6648	6.474403871	Malignant	-0.724132464	-1.065698013	0.245370298	-0.863266053	0.811051526
BCH1126-P02-H09	BCH1126	5431	4.317728573	Oligodendrocyte	NA	NA	NA	NA	NA
BCH1126-P02-H12	BCH1126	3523	5.310487173	Immune cell	NA	NA	NA	NA	NA
BCH1126-P03-A02	BCH1126	4135	5.779725689	Malignant	-0.71631803	0.667280083	0.397350122	-0.572036121	0.919163781
BCH1126-P03-A03	BCH1126	6722	6.185505785	Malignant	1.565969339	-1.296206973	0.112100577	-0.847705767	0.360825964
BCH1126-P03-A04	BCH1126	5393	4.546003782	Oligodendrocyte	NA	NA	NA	NA	NA
BCH1126-P03-A05	BCH1126	5785	6.276821073	Malignant	-0.551160456	-0.462966112	-0.299365095	-0.045648438	0.703953022
BCH1126-P03-A06	BCH1126	6528	6.221569128	Malignant	0.450592466	-0.36939108	0.163903399	-0.665888321	0.327984322
BCH1126-P03-A07	BCH1126	6142	4.376413322	Oligodendrocyte	NA	NA	NA	NA	NA
BCH1126-P03-A08	BCH1126	5940	6.312768124	Malignant	-0.88898663	-0.843555075	0.2871403	-1.120042479	0.252037072
BCH1126-P03-A10	BCH1126	7084	6.023069098	Malignant	1.69718201	-1.096484335	0.115691746	-1.528660862	0.007963851
BCH1126-P03-A11	BCH1126	6387	6.285900146	Malignant	-0.012850309	-1.027114336	-0.69578184	0.267929162	0.133880321
BCH1126-P03-B01	BCH1126	5736	6.33550338	Malignant	-0.430893285	-0.546316369	-0.414148522	0.235289279	1.336527453
BCH1126-P03-B02	BCH1126	4496	5.993025827	Malignant	0.011047044	0.068760003	0.260773027	-0.270097074	1.679277064
BCH1126-P03-B03	BCH1126	6022	6.241125213	Malignant	-0.398312179	-0.927963361	0.845495397	-1.351235229	-0.293806299
BCH1126-P03-B04	BCH1126	7557	6.196766185	Malignant	3.076445829	-1.531404301	-0.788927984	-1.440028307	0.056508367
BCH1126-P03-B05	BCH1126	6049	6.50771092	Malignant	-1.066326057	-1.157109098	0.163147633	-0.73260507	0.933310436
BCH1126-P03-B08	BCH1126	5539	6.057603674	Malignant	-0.93085127	-0.74798099	0.431935925	-0.582014468	0.31229947
BCH1126-P03-B09	BCH1126	4128	6.111908009	Malignant	3.853916331	-2.818138384	-0.40546748	-1.220431783	-2.398622928
BCH1126-P03-B10	BCH1126	6514	6.368126885	Malignant	0.192668452	-1.953328319	0.589068626	-0.858639651	-1.07614082
BCH1126-P03-B11	BCH1126	5624	5.928850389	Malignant	0.185482875	-1.10020101	1.078536634	-0.850268348	-0.026609931
BCH1126-P03-B12	BCH1126	7674	6.384147722	Malignant	1.088797886	-1.788026273	-1.116980109	-0.508754826	-0.437681616
BCH1126-P03-C03	BCH1126	6942	6.091890534	Malignant	2.781217019	-1.233968572	-0.152680109	-1.393242737	-0.397886768
BCH1126-P03-C04	BCH1126	5471	6.499849029	Malignant	-0.248705195	-1.294691776	0.022172952	-0.2626763	0.956826375
BCH1126-P03-C05	BCH1126	4721	6.48168026	Malignant	-0.581277659	-0.902964705	-0.790479999	-0.468362904	1.299272738
BCH1126-P03-C07	BCH1126	4414	5.555563045	Malignant	0.400350158	0.560731392	-0.274230716	0.066795874	0.38610856
BCH1126-P03-C08	BCH1126	5963	6.326301031	Malignant	-0.126249208	-0.724319875	-0.31135623	-0.62421409	1.563777919
BCH1126-P03-C09	BCH1126	4569	5.863567912	Malignant	1.602075095	-1.135430397	0.437121501	-0.601529149	-0.057691159
BCH1126-P03-C10	BCH1126	6449	6.28979402	Malignant	-0.161776167	-1.089591875	-0.217221233	-0.173035323	0.277764757
BCH1126-P03-C11	BCH1126	4228	6.428080543	Malignant	-0.42972656	-1.376852134	-0.441363749	-1.246095365	0.570129187
BCH1126-P03-C12	BCH1126	4770	5.957679749	Malignant	-0.496367045	-0.515090778	1.529318899	-0.830291336	-0.087812787
BCH1126-P03-D01	BCH1126	3808	5.664113116	Immune cell	NA	NA	NA	NA	NA
BCH1126-P03-D03	BCH1126	4771	5.889899163	Malignant	2.820272435	-1.137357823	-0.904791619	-0.82712407	0.726859938
BCH1126-P03-D04	BCH1126	5611	5.462825224	Malignant	-0.826392864	-0.666296815	0.231684014	-0.83684788	1.744819194
BCH1126-P03-D05	BCH1126	5843	5.312908689	Malignant	3.528168585	-0.335557682	-0.387391322	-0.561463526	0.648225852
BCH1126-P03-D06	BCH1126	4905	6.420638539	Malignant	-0.83489448	-0.919417305	0.099651652	-0.225593071	1.302343426
BCH1126-P03-D08	BCH1126	5814	6.175989202	Malignant	-0.863712968	-1.045542845	-0.286987832	-0.876987296	0.694710464
BCH1126-P03-D09	BCH1126	5162	5.223785213	Malignant	-0.574689036	0.520839999	-0.102132487	-0.628933041	2.557062359
BCH1126-P03-D10	BCH1126	6330	5.776164765	Malignant	-0.994177467	-1.818305629	-0.054841451	0.004169155	1.02980476
BCH1126-P03-D11	BCH1126	4637	4.903303719	Immune cell	NA	NA	NA	NA	NA
BCH1126-P03-D12	BCH1126	5153	6.028238609	Malignant	-0.695282781	-1.447426533	-0.259687322	0.380247611	1.645168866
BCH1126-P03-E01	BCH1126	5441	6.10531469	Malignant	-0.504135329	-0.477667599	0.502050389	-0.973844147	0.637484694
BCH1126-P03-E02	BCH1126	5815	6.112446276	Malignant	-0.824722351	0.269671439	0.519473755	0.068323192	1.545697799
BCH1126-P03-E03	BCH1126	5893	6.257629709	Malignant	-0.503606447	-0.50265393	0.004462851	-0.520198675	1.112607441
BCH1126-P03-E04	BCH1126	5133	6.296215008	Malignant	-0.513088047	0.326757407	-0.032966141	-0.822314235	0.839502113
BCH1126-P03-E05	BCH1126	5065	6.177858766	Malignant	-0.207402134	0.184931024	-0.446017984	0.48581764	1.495270197
BCH1126-P03-E07	BCH1126	3654	5.529081571	Immune cell	NA	NA	NA	NA	NA
BCH1126-P03-E08	BCH1126	4485	6.063983324	Malignant	-0.291107767	-1.143225422	-0.055481907	-0.471989398	0.10260524
BCH1126-P03-E09	BCH1126	4939	5.920985193	Malignant	0.100559409	-0.99595447	-0.396651278	-0.241307403	0.518878923
BCH1126-P03-E10	BCH1126	5022	5.367049908	Malignant	-0.647498198	0.37620843	2.251751879	-0.563799408	0.879338891
BCH1126-P03-E11	BCH1126	5831	6.423812449	Malignant	-0.506878911	-0.866195218	0.13924452	-0.535536708	0.364029658
BCH1126-P03-E12	BCH1126	6047	6.182151439	Malignant	-0.182715229	-1.296637455	-0.538682875	-0.956995134	1.463485813
BCH1126-P03-F02	BCH1126	4763	5.672240416	Malignant	2.848202309	-1.371328398	1.279578725	-1.36799657	-0.483667281
BCH1126-P03-F03	BCH1126	4945	5.839625077	Malignant	-0.656886936	-1.239048379	-0.01475808	-0.472331499	0.419899329
BCH1126-P03-F04	BCH1126	5777	5.647817054	Malignant	-0.975310053	-0.87989152	-0.502599665	-0.824354422	0.697660985
BCH1126-P03-F05	BCH1126	5645	5.733999227	Malignant	-0.280489854	-0.313954932	0.409542644	-1.00492669	-0.259637065
BCH1126-P03-F06	BCH1126	5589	5.887605945	Malignant	-0.666501063	-1.137698083	1.542558696	-1.020946654	-1.446028851
BCH1126-P03-F08	BCH1126	6219	4.667073474	Oligodendrocyte	NA	NA	NA	NA	NA
BCH1126-P03-F11	BCH1126	5600	6.049733911	Malignant	-0.673267399	-1.012330355	-0.938832463	-0.779972306	0.270195476
BCH1126-P03-F12	BCH1126	2940	6.078386091	Immune cell	NA	NA	NA	NA	NA
BCH1126-P03-G01	BCH1126	6026	6.021605988	Malignant	-0.253684879	-0.965558998	-0.602889087	-0.194700414	1.646527212
BCH1126-P03-G04	BCH1126	5387	6.338934702	Malignant	-0.456954844	-1.057135743	-0.347532841	-0.334355902	0.101478152
BCH1126-P03-G05	BCH1126	5481	6.219928462	Malignant	0.149942642	-0.693306437	-0.340251921	-0.685332751	1.05426165
BCH1126-P03-G06	BCH1126	5653	6.032455397	Malignant	-0.786347261	-0.4536325	0.750934704	-1.382356163	0.107809335
BCH1126-P03-G07	BCH1126	4764	4.328457708	Oligodendrocyte	NA	NA	NA	NA	NA
BCH1126-P03-G08	BCH1126	5116	6.091408016	Malignant	-0.449446597	1.343740384	0.548390083	-0.577323847	1.648623513
BCH1126-P03-G09	BCH1126	5110	6.219566607	Malignant	-0.552536177	-1.03290692	0.68972744	-0.50769336	1.677718853
BCH1126-P03-G10	BCH1126	5737	6.196663355	Malignant	0.091917633	-0.594973102	-0.345820134	-0.417033959	1.335577621
BCH1126-P03-G11	BCH1126	6232	6.301078382	Malignant	-0.639140054	-1.744422503	-0.193006454	-1.187737591	-0.028846175
BCH1126-P03-G12	BCH1126	3103	5.880506306	Malignant	-0.743556265	-0.523339466	0.766447648	-1.038386571	-0.983532297
BCH1126-P03-H01	BCH1126	4128	6.385251814	Malignant	0.72525719	-1.629935687	0.003973842	-0.742003269	-0.125495256
BCH1126-P03-H04	BCH1126	3760	5.233327139	Immune cell	NA	NA	NA	NA	NA
BCH1126-P03-H05	BCH1126	5348	6.319937097	Malignant	-0.740740862	-0.412109837	0.292234835	-0.402221035	0.347338533
BCH1126-P03-H06	BCH1126	6147	5.728730345	Malignant	0.623730613	-1.334745082	0.116663079	-1.21968128	0.487272583
BCH1126-P03-H07	BCH1126	4645	4.467927919	Malignant	-0.432923786	0.307873745	0.445352249	-0.215026866	1.990466794
BCH1126-P03-H09	BCH1126	3690	5.023225879	Immune cell	NA	NA	NA	NA	NA
BCH1126-P03-H10	BCH1126	6089	6.197576094	Malignant	-0.884575699	-0.394180231	0.189639534	-1.30264989	0.527166555
BCH1126-P03-H11	BCH1126	6272	4.75874906	Oligodendrocyte	NA	NA	NA	NA	NA
BCH1126-P03-H12	BCH1126	5075	6.062289855	Malignant	-0.544165729	-0.007909749	-0.124003762	-0.545061417	1.341353055
